epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.462,2.08125,5.90664,0.01032,0.0065,0.58383,0.06685,0.02526,1.73152,6.30499,0.00964,0.000412371,0.000412371,0.000412371
2,64.9588,1.78844,4.48784,0.00842,0.44064,0.14627,0.11284,0.04224,1.98114,5.10011,0.01123,0.00082083,0.00082083,0.00082083
3,84.7315,1.81237,3.69134,0.00857,0.52066,0.21264,0.2005,0.09675,1.67659,3.72465,0.00927,0.00122104,0.00122104,0.00122104
4,104.79,1.76953,3.15097,0.00838,0.53611,0.27483,0.24096,0.12055,1.69253,3.49097,0.00963,0.00121287,0.00121287,0.00121287
5,124.384,1.77844,2.71094,0.00842,0.5308,0.26438,0.23598,0.1162,1.69664,2.70604,0.00963,0.0012005,0.0012005,0.0012005
6,144.101,1.76371,2.4773,0.00848,0.53948,0.32009,0.31812,0.15849,1.76457,2.47298,0.01015,0.00118812,0.00118812,0.00118812
7,163.749,1.77122,2.36183,0.00834,0.46786,0.32631,0.32883,0.16525,1.72064,2.33518,0.00979,0.00117575,0.00117575,0.00117575
8,183.495,1.7587,2.21318,0.00839,0.47862,0.34986,0.36631,0.18342,1.75355,2.20342,0.00988,0.00116337,0.00116337,0.00116337
9,203.488,1.78339,2.11373,0.00862,0.55782,0.34983,0.35115,0.18549,1.7794,2.17039,0.01009,0.001151,0.001151,0.001151
10,222.889,1.77354,2.0352,0.00846,0.50941,0.34247,0.39803,0.20291,1.78832,1.97334,0.00999,0.00113863,0.00113863,0.00113863
11,242.421,1.76437,1.9908,0.0083,0.47176,0.37581,0.39448,0.20471,1.7812,2.00175,0.00993,0.00112625,0.00112625,0.00112625
12,261.91,1.72407,1.9029,0.00806,0.65331,0.34009,0.35787,0.18712,1.76133,2.06908,0.00999,0.00111388,0.00111388,0.00111388
13,281.949,1.69798,1.87919,0.00817,0.45149,0.4256,0.42224,0.21253,1.78381,1.86378,0.01032,0.0011015,0.0011015,0.0011015
14,301.614,1.71842,1.81682,0.00813,0.48169,0.43303,0.45102,0.23586,1.76922,1.73654,0.01,0.00108913,0.00108913,0.00108913
15,321.191,1.70717,1.7792,0.00795,0.54574,0.42494,0.43887,0.2385,1.72821,1.80621,0.00986,0.00107675,0.00107675,0.00107675
16,340.697,1.70556,1.77252,0.00793,0.56376,0.40454,0.46367,0.26464,1.66228,1.65209,0.00942,0.00106437,0.00106437,0.00106437
17,360.501,1.67166,1.67603,0.00775,0.47773,0.46646,0.46428,0.25412,1.6822,1.67707,0.00959,0.001052,0.001052,0.001052
18,380.352,1.66165,1.65544,0.00792,0.56393,0.44146,0.47948,0.25096,1.76188,1.66574,0.01016,0.00103962,0.00103962,0.00103962
19,400.081,1.65404,1.63826,0.00793,0.57156,0.4506,0.50808,0.2696,1.72762,1.63459,0.00975,0.00102725,0.00102725,0.00102725
20,419.847,1.64124,1.5893,0.00776,0.56954,0.47553,0.51528,0.28051,1.70957,1.56823,0.00986,0.00101488,0.00101488,0.00101488
21,439.672,1.65528,1.5891,0.00783,0.51436,0.51867,0.51788,0.29367,1.67049,1.52272,0.00962,0.0010025,0.0010025,0.0010025
22,459.891,1.61741,1.5281,0.00748,0.55789,0.487,0.52802,0.29533,1.67838,1.5395,0.00952,0.000990125,0.000990125,0.000990125
23,479.917,1.63399,1.50327,0.00774,0.49959,0.50899,0.52775,0.29168,1.70835,1.53427,0.00956,0.00097775,0.00097775,0.00097775
24,499.443,1.61765,1.49868,0.00746,0.56728,0.4714,0.51468,0.28831,1.7235,1.54263,0.00975,0.000965375,0.000965375,0.000965375
25,519.093,1.60748,1.44378,0.00756,0.58257,0.51865,0.54324,0.2998,1.71335,1.51899,0.01005,0.000953,0.000953,0.000953
26,538.75,1.59182,1.44573,0.00738,0.55654,0.50083,0.55134,0.30499,1.68,1.5238,0.00943,0.000940625,0.000940625,0.000940625
27,558.636,1.59149,1.4014,0.0074,0.56096,0.52947,0.55955,0.32377,1.65235,1.4422,0.00949,0.00092825,0.00092825,0.00092825
28,578.486,1.58147,1.40448,0.00761,0.55768,0.51787,0.56077,0.31435,1.64346,1.48663,0.00953,0.000915875,0.000915875,0.000915875
29,598.082,1.5953,1.39079,0.00737,0.64919,0.51602,0.58426,0.32686,1.66871,1.40167,0.00943,0.0009035,0.0009035,0.0009035
30,618.023,1.57131,1.38635,0.00736,0.60943,0.55724,0.57588,0.32972,1.61047,1.48272,0.0092,0.000891125,0.000891125,0.000891125
31,638.334,1.5593,1.32671,0.00721,0.64177,0.52103,0.58809,0.32673,1.67599,1.41366,0.00957,0.00087875,0.00087875,0.00087875
32,657.794,1.5309,1.30139,0.00737,0.61072,0.57162,0.60758,0.35186,1.64133,1.34609,0.00939,0.000866375,0.000866375,0.000866375
33,677.676,1.5174,1.30761,0.00709,0.66422,0.55313,0.62187,0.35233,1.62424,1.34806,0.00916,0.000854,0.000854,0.000854
34,697.319,1.52306,1.29056,0.00707,0.61656,0.54433,0.58976,0.33902,1.65215,1.42884,0.00945,0.000841625,0.000841625,0.000841625
35,717.331,1.52044,1.24477,0.007,0.63235,0.55468,0.59598,0.34881,1.62846,1.38194,0.00939,0.00082925,0.00082925,0.00082925
36,736.885,1.52484,1.27112,0.00703,0.625,0.60525,0.61753,0.35656,1.60291,1.30282,0.00907,0.000816875,0.000816875,0.000816875
37,756.501,1.49364,1.26194,0.00696,0.6912,0.55174,0.6251,0.35929,1.60166,1.31518,0.00918,0.0008045,0.0008045,0.0008045
38,776.064,1.50139,1.21923,0.00698,0.63999,0.57439,0.63111,0.35652,1.64735,1.31753,0.00952,0.000792125,0.000792125,0.000792125
39,795.569,1.49717,1.21974,0.00688,0.63047,0.58239,0.61954,0.34657,1.63948,1.29202,0.00937,0.00077975,0.00077975,0.00077975
40,815.84,1.4874,1.16638,0.00682,0.61889,0.58765,0.61278,0.34828,1.62702,1.37449,0.00928,0.000767375,0.000767375,0.000767375
41,835.262,1.45227,1.13162,0.00673,0.61455,0.60929,0.64216,0.3678,1.62066,1.24235,0.00932,0.000755,0.000755,0.000755
42,855.136,1.48518,1.17457,0.00692,0.77722,0.50269,0.63143,0.37005,1.59327,1.31389,0.00921,0.000742625,0.000742625,0.000742625
43,874.981,1.44152,1.1069,0.00663,0.65225,0.57191,0.62877,0.36343,1.58073,1.29957,0.00893,0.00073025,0.00073025,0.00073025
44,894.504,1.44472,1.13488,0.00655,0.65075,0.61388,0.63705,0.35779,1.63538,1.29283,0.00967,0.000717875,0.000717875,0.000717875
45,913.668,1.40517,1.05163,0.00658,0.70326,0.57224,0.6449,0.36617,1.59914,1.26846,0.00918,0.0007055,0.0007055,0.0007055
46,932.646,1.38997,1.0659,0.00641,0.68741,0.6011,0.64532,0.3769,1.5615,1.35379,0.00884,0.000693125,0.000693125,0.000693125
47,951.728,1.42325,1.04809,0.0065,0.70238,0.5736,0.65383,0.38747,1.56778,1.21691,0.00892,0.00068075,0.00068075,0.00068075
48,971.356,1.4112,1.04584,0.00648,0.71229,0.60438,0.66103,0.38466,1.58174,1.22947,0.00895,0.000668375,0.000668375,0.000668375
49,990.426,1.40515,1.03438,0.00652,0.72948,0.58136,0.65368,0.38724,1.56881,1.24729,0.00892,0.000656,0.000656,0.000656
50,1010.06,1.39728,1.01361,0.00631,0.72164,0.60886,0.6697,0.38878,1.56358,1.23287,0.00904,0.000643625,0.000643625,0.000643625
51,1029,1.4062,1.04296,0.00642,0.68004,0.63697,0.6728,0.3863,1.55536,1.23304,0.00883,0.00063125,0.00063125,0.00063125
52,1048,1.38025,1.01958,0.00622,0.69387,0.5877,0.64184,0.37165,1.58919,1.26228,0.00927,0.000618875,0.000618875,0.000618875
53,1067.91,1.38677,1.03998,0.00637,0.72113,0.61498,0.68023,0.4018,1.55526,1.19998,0.00878,0.0006065,0.0006065,0.0006065
54,1087.4,1.31271,0.94668,0.00591,0.7912,0.59766,0.68683,0.40082,1.56983,1.2214,0.00902,0.000594125,0.000594125,0.000594125
55,1106.87,1.3768,0.99434,0.00617,0.69834,0.62062,0.67291,0.39742,1.54194,1.19933,0.00884,0.00058175,0.00058175,0.00058175
56,1125.87,1.3334,0.9481,0.00604,0.67575,0.64129,0.67608,0.40482,1.54879,1.17695,0.00879,0.000569375,0.000569375,0.000569375
57,1145.27,1.32287,0.96141,0.00609,0.69221,0.64644,0.67891,0.40336,1.52618,1.19222,0.00872,0.000557,0.000557,0.000557
58,1164.44,1.32527,0.96706,0.00601,0.69612,0.63311,0.67148,0.39555,1.54304,1.20079,0.00872,0.000544625,0.000544625,0.000544625
59,1183.8,1.30244,0.91906,0.00599,0.69002,0.63004,0.66328,0.40466,1.50647,1.21849,0.00857,0.00053225,0.00053225,0.00053225
60,1202.81,1.31447,0.93126,0.00586,0.691,0.65392,0.67842,0.40499,1.53625,1.17296,0.00876,0.000519875,0.000519875,0.000519875
61,1222.11,1.33208,0.93769,0.00598,0.70952,0.63726,0.67327,0.39885,1.54786,1.2086,0.00871,0.0005075,0.0005075,0.0005075
62,1241.84,1.29439,0.9003,0.00585,0.73485,0.64823,0.69187,0.40771,1.54011,1.15042,0.00868,0.000495125,0.000495125,0.000495125
63,1260.89,1.27856,0.8601,0.00595,0.71157,0.63882,0.67949,0.40009,1.52926,1.18563,0.0087,0.00048275,0.00048275,0.00048275
64,1279.98,1.28241,0.89346,0.00582,0.71858,0.64974,0.68629,0.41329,1.51655,1.17598,0.00869,0.000470375,0.000470375,0.000470375
65,1299.13,1.27371,0.87813,0.00568,0.77555,0.62189,0.69956,0.42615,1.49823,1.15516,0.00852,0.000458,0.000458,0.000458
66,1318.95,1.2657,0.86557,0.00569,0.70931,0.63116,0.67448,0.40111,1.52397,1.15357,0.00863,0.000445625,0.000445625,0.000445625
67,1338.55,1.27494,0.86027,0.00575,0.74742,0.623,0.69848,0.40991,1.5181,1.14589,0.00866,0.00043325,0.00043325,0.00043325
68,1357.83,1.27104,0.87063,0.00566,0.74834,0.64516,0.69991,0.41273,1.51037,1.14339,0.00859,0.000420875,0.000420875,0.000420875
69,1376.88,1.25093,0.83909,0.00553,0.7432,0.60888,0.68597,0.40332,1.52877,1.1915,0.00859,0.0004085,0.0004085,0.0004085
70,1396.14,1.26158,0.85842,0.00567,0.7709,0.63536,0.6983,0.41596,1.50261,1.15413,0.00851,0.000396125,0.000396125,0.000396125
71,1415.61,1.22653,0.84465,0.00557,0.75865,0.63589,0.69409,0.41476,1.49486,1.15182,0.00843,0.00038375,0.00038375,0.00038375
72,1435.07,1.22442,0.82409,0.00549,0.70951,0.64354,0.68305,0.40901,1.49517,1.19017,0.00851,0.000371375,0.000371375,0.000371375
73,1454.21,1.24187,0.85404,0.00562,0.73953,0.62822,0.70227,0.41521,1.48751,1.16427,0.00858,0.000359,0.000359,0.000359
74,1473.28,1.2318,0.83229,0.00553,0.72461,0.64487,0.69412,0.41901,1.48175,1.16974,0.00849,0.000346625,0.000346625,0.000346625
75,1492.44,1.22185,0.81141,0.00539,0.72752,0.6482,0.68573,0.40989,1.48814,1.21176,0.00841,0.00033425,0.00033425,0.00033425
76,1511.27,1.20923,0.79801,0.00547,0.73071,0.65412,0.69382,0.42014,1.48088,1.17134,0.00841,0.000321875,0.000321875,0.000321875
77,1530.8,1.21341,0.81064,0.00543,0.7133,0.64254,0.68228,0.41099,1.49932,1.18615,0.00848,0.0003095,0.0003095,0.0003095
78,1550.33,1.17206,0.76073,0.00512,0.75732,0.64782,0.69734,0.42018,1.48683,1.13937,0.00847,0.000297125,0.000297125,0.000297125
